canonical_vi,canonical_en,parent_vi,parent_en,keywords
Business Intelligence,Business Intelligence,BI & Trực quan hóa,BI & Visualization,business intelligence|\bbi tools?\b|\bbi developer\b|\bbi engineer\b|\bbi analyst\b|\bbi report\b|\bbi dashboard\b|tri tue kinh doanh
A/B Testing,A/B Testing,Thống kê & Toán học,Statistics & Math,a/b test|a-b test|ab testing|split test|kiem dinh a b
Hypothesis Testing,Hypothesis Testing,Thống kê & Toán học,Statistics & Math,hypothesis test|kiem dinh gia thuyet|t-test|t test|chi-square|chi square|anova|z-test
Regression,Regression,Thống kê & Toán học,Statistics & Math,\bregression\b|hoi quy|linear regression|logistic regression|hoi quy tuyen tinh|hoi quy logistic|ridge regression|lasso regression
Bayesian,Bayesian,Thống kê & Toán học,Statistics & Math,bayesian|\bbayes\b|bayesian inference|naive bayes
Time Series,Time Series,Thống kê & Toán học,Statistics & Math,time series|chuoi thoi gian|arima|sarima|prophet|exponential smoothing|forecasting|du bao
Causal Inference,Causal Inference,Thống kê & Toán học,Statistics & Math,causal inference|nhan qua|difference-in-differences|\bdid\b|propensity score|instrumental variable
Linear Algebra,Linear Algebra,Thống kê & Toán học,Statistics & Math,linear algebra|dai so tuyen tinh|matrix algebra|eigenvalue|eigenvector
Calculus,Calculus,Thống kê & Toán học,Statistics & Math,calculus|giai tich|derivative|gradient calculus
Statistics,Statistics,Thống kê & Toán học,Statistics & Math,statistics|thong ke|descriptive statistics|inferential statistics|thong ke mo ta|thong ke suy luan
Probability,Probability,Thống kê & Toán học,Statistics & Math,probability|xac suat|probability distribution|phan phoi xac suat
Optimization,Optimization,Thống kê & Toán học,Statistics & Math,optimization|toi uu hoa|gradient descent|stochastic gradient|convex optimization
SHAP,SHAP,Thống kê & Toán học,Statistics & Math,\bshap\b|shapley|explainable ai|\bxai\b|model interpretability
Feature Engineering,Feature Engineering,Thống kê & Toán học,Statistics & Math,feature engineering|tao dac trung|feature selection|feature extraction
Model Evaluation,Model Evaluation,Thống kê & Toán học,Statistics & Math,model evaluation|\bauc-?roc\b|\bauc-?pr\b|\brmse\b|\bmae\b|cross validation|cross-validation|precision|recall|f1[ -]?score|roc curve|confusion matrix|danh gia mo hinh
Dimensionality Reduction,Dimensionality Reduction,Thống kê & Toán học,Statistics & Math,dimensionality reduction|\bpca\b|\bt-sne\b|umap|principal component|giam chieu
Random Forest,Random Forest,Học máy cổ điển,Classical ML,random forest|rung ngau nhien
Gradient Boosting,Gradient Boosting,Học máy cổ điển,Classical ML,gradient boosting|\bgbm\b|\bgbdt\b
SVM,SVM,Học máy cổ điển,Classical ML,\bsvm\b|support vector machine
Clustering,Clustering,Học máy cổ điển,Classical ML,clustering|phan cum|kmeans|k-means|dbscan|hierarchical clustering
Recommendation Systems,Recommendation Systems,Học máy cổ điển,Classical ML,recommendation system|recommender system|he goi y|collaborative filtering|content-based filtering
Machine Learning,Machine Learning,Học máy cổ điển,Classical ML,machine learning|hoc may|\bml\b|supervised learning|unsupervised learning|\bml model\b|\bml pipeline\b
Ensemble Learning,Ensemble Learning,Học máy cổ điển,Classical ML,ensemble learning|\bbagging\b|stacking|ensemble model
CNN,CNN,Học sâu,Deep Learning,\bcnn\b|convolutional neural network|mang no ron tich chap
RNN,RNN,Học sâu,Deep Learning,\brnn\b|recurrent neural network
